iter	Passed	Remaining
953	4324	208
954	4334	204
955	4342	199
956	4349	195
957	4354	190
958	4361	186
959	4365	181
960	4370	177
961	4378	172
962	4384	168
963	4391	164
964	4396	159
965	4400	154
966	4404	150
967	4410	145
968	4415	141
969	4419	136
970	4425	132
971	4430	127
972	4434	123
973	4439	118
974	4443	113
975	4447	109
976	4450	104
977	4455	100
978	4458	95
979	4462	91
980	4466	86
981	4470	81
982	4474	77
983	4478	72
984	4482	68
985	4486	63
986	4491	59
987	4495	54
988	4499	50
989	4503	45
990	4507	40
991	4511	36
992	4515	31
993	4519	27
994	4523	22
995	4526	18
996	4530	13
997	4534	9
998	4538	4
999	4541	0
